Start_Date,End_Date,Dates,Cavite,Laguna,Batangas,Rizal,Quezon,Lucena,Unknown city/province,SUM,Total (DOH),Difference
2/27/2020,3/4/2020,02/27/2020 to 03/04/2020,2,4,2,12,0,0,0,20,20,
3/5/2020,3/11/2020,03/05/2020 to 03/11/2020,78,68,43,71,22,5,0,287,287,
3/12/2020,3/18/2020,03/12/2020 to 03/18/2020,59,58,30,75,9,3,1,235,235,
3/19/2020,3/25/2020,03/19/2020 to 03/25/2020,36,36,18,50,3,2,1,146,146,
3/26/2020,4/1/2020,03/26/2020 to 04/01/2020,39,53,15,63,6,4,0,180,180,
4/2/2020,4/8/2020,04/02/2020 to 04/08/2020,52,70,29,67,6,6,0,230,230,
4/9/2020,4/15/2020,04/09/2020 to 04/15/2020,90,105,67,88,38,17,4,409,409,
4/16/2020,4/22/2020,04/16/2020 to 04/22/2020,22,23,7,34,8,4,2,100,100,
4/23/2020,4/29/2020,04/23/2020 to 04/29/2020,16,22,16,28,1,1,1,85,85,
4/30/2020,5/6/2020,04/30/2020 to 05/06/2020,17,30,20,22,5,0,1,95,95,
5/7/2020,5/13/2020,05/07/2020 to 05/13/2020,97,114,59,74,33,14,3,394,394,
5/14/2020,5/20/2020,05/14/2020 to 05/20/2020,21,26,18,40,1,2,10,118,118,
5/21/2020,5/27/2020,05/21/2020 to 05/27/2020,36,31,28,27,6,3,4,135,135,
5/28/2020,6/3/2020,05/28/2020 to 06/03/2020,29,46,14,28,7,4,9,137,137,
6/4/2020,6/10/2020,06/04/2020 to 06/10/2020,113,121,75,69,18,19,12,427,427,
6/11/2020,6/17/2020,06/11/2020 to 06/17/2020,82,111,49,121,26,6,19,414,414,
6/18/2020,6/24/2020,06/18/2020 to 06/24/2020,131,132,39,164,10,1,34,511,511,
6/25/2020,7/1/2020,06/25/2020 to 07/01/2020,212,277,57,238,15,4,56,859,859,
7/2/2020,7/8/2020,07/02/2020 to 07/08/2020,371,443,136,292,11,5,45,1303,1303,
7/9/2020,7/15/2020,07/09/2020 to 07/15/2020,560,661,219,475,67,24,10,2016,2016,
7/16/2020,7/22/2020,07/16/2020 to 07/22/2020,799,1422,222,635,30,30,34,3172,3172,
7/23/2020,7/29/2020,07/23/2020 to 07/29/2020,1770,1149,272,813,77,15,28,4124,4124,
7/30/2020,8/5/2020,07/30/2020 to 08/05/2020,819,1101,364,662,123,29,18,3116,3116,
8/6/2020,8/12/2020,08/06/2020 to 08/12/2020,933,1063,468,725,100,38,15,3342,3342,
8/13/2020,8/19/2020,08/13/2020 to 08/19/2020,863,912,395,597,98,22,11,2898,2898,
8/20/2020,8/26/2020,08/20/2020 to 08/26/2020,799,879,380,557,90,25,2,2732,2732,
8/27/2020,9/2/2020,08/27/2020 to 09/02/2020,896,851,501,642,107,33,25,3055,3055,
9/3/2020,9/9/2020,09/03/2020 to 09/09/2020,1001,820,492,778,87,25,19,3222,3222,
9/10/2020,9/16/2020,09/10/2020 to 09/16/2020,950,735,567,654,106,54,0,3066,3066,
9/17/2020,9/23/2020,09/17/2020 to 09/23/2020,820,653,525,667,89,57,0,2811,2811,
9/24/2020,9/30/2020,09/24/2020 to 09/30/2020,744,535,427,611,133,51,0,2501,2501,
10/1/2020,10/7/2020,10/01/2020 to 10/07/2020,590,464,611,551,225,137,0,2578,2578,
10/8/2020,10/14/2020,10/08/2020 to 10/14/2020,432,379,347,520,232,94,0,2004,2004,
10/15/2020,10/21/2020,10/15/2020 to 10/21/2020,327,309,367,396,190,53,0,1642,1642,
10/22/2020,10/28/2020,10/22/2020 to 10/28/2020,356,319,215,402,198,47,0,1537,1537,
10/29/2020,11/4/2020,10/29/2020 to 11/04/2020,288,295,263,366,245,40,0,1497,1497,
11/5/2020,11/11/2020,11/05/2020 to 11/11/2020,327,250,240,356,266,41,1,1481,1481,
11/12/2020,11/18/2020,11/12/2020 to 11/18/2020,409,315,269,281,250,37,0,1561,1561,
11/19/2020,11/25/2020,11/19/2020 to 11/25/2020,214,323,214,266,199,39,0,1255,1255,
11/26/2020,12/2/2020,11/26/2020 to 12/02/2020,149,280,136,332,182,28,0,1107,1107,
12/3/2020,12/9/2020,12/03/2020 to 12/09/2020,135,248,156,401,165,18,0,1123,1123,
12/10/2020,12/16/2020,12/10/2020 to 12/16/2020,161,261,153,430,141,15,0,1161,1161,
12/17/2020,12/23/2020,12/17/2020 to 12/23/2020,192,217,178,304,72,15,0,978,978,
12/24/2020,12/30/2020,12/24/2020 to 12/30/2020,144,187,119,254,33,13,0,750,750,
12/31/2020,1/6/2021,12/31/2020 to 01/06/2021,4236,2984,1121,1534,923,265,1,11064,11064,
1/7/2021,1/13/2021,01/07/2021 to 01/13/2021,864,578,399,620,164,55,0,2680,2680,
1/14/2021,1/20/2021,01/14/2021 to 01/20/2021,246,203,132,294,107,22,1,1005,1005,
1/21/2021,1/27/2021,01/21/2021 to 01/27/2021,210,167,137,347,77,14,0,952,952,
1/28/2021,2/3/2021,01/28/2021 to 02/03/2021,203,147,112,274,59,12,0,807,807,
2/4/2021,2/10/2021,02/04/2021 to 02/10/2021,744,475,306,515,100,30,0,2170,2170,
2/11/2021,2/17/2021,02/11/2021 to 02/17/2021,377,303,173,343,69,14,2,1281,1279,2
2/18/2021,2/24/2021,02/18/2021 to 02/24/2021,291,159,96,278,37,1,0,862,862,
2/25/2021,3/3/2021,02/25/2021 to 03/03/2021,483,306,147,487,39,5,0,1467,1467,
3/4/2021,3/10/2021,03/04/2021 to 03/10/2021,1309,941,494,1198,163,44,0,4149,4149,
3/11/2021,3/17/2021,03/11/2021 to 03/17/2021,1663,1076,724,1701,166,25,0,5355,5357,2
3/18/2021,3/24/2021,03/18/2021 to 03/24/2021,2587,1440,1070,2221,215,34,0,7567,7567,
3/25/2021,3/31/2021,03/25/2021 to 03/31/2021,3110,1784,1504,2806,397,49,0,9650,9650,
4/1/2021,4/7/2021,04/01/2021 to 04/07/2021,3261,2040,1502,2628,520,66,0,10017,10020,3
4/8/2021,4/14/2021,04/08/2021 to 04/14/2021,3799,2350,1671,2880,575,88,5,11368,11368,
4/15/2021,4/21/2021,04/15/2021 to 04/21/2021,2604,1836,1587,2317,334,77,0,8755,8755,
4/22/2021,4/28/2021,04/22/2021 to 04/28/2021,2056,1732,1482,1912,391,82,0,7655,7655,
4/29/2021,5/5/2021,04/29/2021 to 05/05/2021,1594,1502,1289,1352,345,86,0,6168,6168,
5/6/2021,5/12/2021,05/06/2021 to 05/12/2021,1974,1759,1264,1294,527,115,1,6934,6934,
5/13/2021,5/19/2021,05/13/2021 to 05/19/2021,1528,1529,993,983,410,102,0,5545,5545,
5/20/2021,5/26/2021,05/20/2021 to 05/26/2021,1526,1437,965,900,339,101,1,5269,5269,
5/27/2021,6/2/2021,05/27/2021 to 06/02/2021,1339,1378,875,615,405,118,0,4730,4730,
6/3/2021,6/9/2021,06/03/2021 to 06/09/2021,1560,1472,1005,690,410,165,0,5302,5302,
6/10/2021,6/16/2021,06/10/2021 to 06/16/2021,1286,1544,910,646,369,139,0,4894,4894,
6/17/2021,6/23/2021,06/17/2021 to 06/23/2021,809,1393,652,519,311,109,0,3793,3793,
6/24/2021,6/30/2021,06/24/2021 to 06/30/2021,923,1314,604,446,212,100,0,3599,3599,
7/1/2021,7/7/2021,07/01/2021 to 07/07/2021,922,1160,694,464,231,65,0,3536,3536,
